idx,sents,labels,checkpoint
19,"['fasilitas', 'parkiran', 'agar', 'disediakan', '.']",[],TRUE
39,"['bersih', '.', 'tetapi', 'sulit', 'ditemukan', '.']","[([-1], [0], 'POS'), ([-1], [3, 4], 'NEG')]",FALSE
41,"['kesigapan', 'pegawai', 'dan', 'minimalkan', 'kebisingan', 'baik', 'dari', 'pegawai', 'atau', 'tamu', 'lain', '.', 'biar', 'tidak', 'menganggu', 'istirahat', 'tamu', 'lain', '.']",[],TRUE
42,"['nyaman', '.']","[([-1], [0], 'POS')]",FALSE
46,"['sarapan', 'cuma', 'roti', 'bakar', 'sama', 'roti', 'saja', 'pilihannya', '.']",[],TRUE
50,"['bersih', '.', 'ramah', '.', 'strategis', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
52,"['tidak', 'sesuai', 'dengan', 'di', 'foto', '.']","[([-1], [0, 1], 'POS')]",FALSE
58,"['memuaskan', 'dan', 'dekat', 'dengan', 'bandara', '.']","[([-1], [0], 'POS')]",FALSE
71,"['lokasi', 'sangat', 'dekat', 'dengan', 'jembatan', 'amperantapi', 'sayangnya', 'sedikit', 'masuk', 'ke', 'dalam', 'lorong', ',', 'tetapi', 'recommended', 'buat', 'yang', 'backpacker', 'an', '.']",[],TRUE
72,"['saya', 'sudah', '2x', 'menginap', '.', 'thank', 'you', 'for', 'your', 'pelayanan', '.']",[],TRUE
76,"['pngen', 'kembali', 'lagi', 'buat', 'menginap', '.']",[],TRUE
77,"['cukup', 'bagus', '.', 'cuma', 'banyak', 'nyamuk', 'beterbangan', '.']","[([-1], [0, 1], 'POS'), ([-1], [4, 5], 'NEG')]",FALSE
80,"['harga', 'ditraveloka', 'jauh', 'lebih', 'mahal', 'dari', 'harga', 'hotel', 'langsung', '.', 'di', 'traveloka', 'lebih', 'rp', '.', '900.000', 'sedangkan', '.']",[],TRUE
95,"['mksh', 'iya', 'atas', 'pelayanan', 'nya', 'mas', 'azis', 'sama', 'mas', 'irfan', 'alhamdullilah', 'q', 'bsistirahat', 'setiap', 'saat', '.']",[],TRUE
119,"['pertama', 'datang', 'saya', 'dikasih', 'kamar', 'yang', 'buat', 'berdua', 'padahal', 'saya', 'memesan', 'kamar', 'yang', 'untuk', 'berempat', 'dan', 'tidak', 'ada', 'desain', 'nya', 'airyroom', 'di', 'kamar', 'dan', 'tidak', 'dapat', 'snack', 'kalau', 'tidak', 'di', 'keluhan', 'pokok', 'nya', 'kecewa', 'menginap', 'disini', '.']","[([-1], [33], 'NEG')]",FALSE
120,"['tidak', 'sesuai', 'yang', 'ada', 'di', 'gambar', '.']","[([-1], [0, 1], 'NEG')]",FALSE
140,"['saya', 'dari', 'jam', '9', 'pagi', 'sudah', 'di', 'usir', 'untuk', 'chekout', '.', 'dengan', 'alasan', 'ada', 'tamu', 'lagi', '.']",[],TRUE
148,"['tidak', 'ada', 'masalah', 'selama', 'menginap', 'di', 'tempat', 'ini', '.']",[],TRUE
158,"['dapat', 'beristrhat', 'dengan', 'nyaman', 'di', 'hotel', 'ini', '.']",[],TRUE
160,"['ada', 'harga', 'ada', 'rupa', '.', 'mantapp', 'sangat', 'apalagi', 'banyak', 'promo', 'nya', '.']","[([-1], [5, 6], 'NEG')]",FALSE
167,"['kurang', 'ramah', '.']","[([-1], [0, 1], 'NEG')]",FALSE
173,"['sudah', '2x', 'ini', 'inap', 'di', 'airy', 'tetapi', 'tidak', 'pernah', 'dapat', 'bingkisan', 'kotak', 'biru', 'dari', 'airy', '(', 'complimentery', ')', 'padahal', 'baca', 'review', 'temanteman', 'sering', 'pada', 'dapat', '.', 'waktu', 'bertanya', 'dari', 'pihak', 'hotel', 'katanya', 'dari', 'airy', 'tidak', 'pernah', 'kirim', 'lagi', ',', 'ty', 'ke', 'customer', 'pelayanan', 'airy', 'di', 'jawab', 'airy', 'tidak', 'ada', 'gitugituan', ',', 'dan', 'percakapan', 'langsung', 'di', 'hentikan', 'oleh', 'customer', 'pelayanan', 'ats', 'nama', 'koko', '.']",[],TRUE
178,"['not', 'bad', '.', 'tetapi', 'ada', 'kecoak', 'di', 'lemarinya', '.', ':', ')', '.']","[([-1], [0, 1], 'NEG')]",FALSE
181,"['sangat', 'nyaman', 'dan', 'murah', 'dan', 'betah', 'disana', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
182,"['serasa', 'di', 'rumah', 'sendiri', '.']",[],TRUE
194,"['kmi', 'sangat', 'puass', 'dan', 'tidak', 'menyesal', ',', 'sesuai', 'dengan', 'ekspetasi', 'yang', 'kmi', 'harapkan', '.']","[([-1], [1, 2], 'POS'), ([-1], [4, 5], 'POS')]",FALSE
214,"['sangat', 'nyaman', 'dan', 'bagus', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
215,"['semoga', 'bisa', 'memberikan', 'pelayanan', 'yang', 'lebih', 'baik', 'lagi', '.']",[],TRUE
218,"['nyaman', 'bersih', 'tenang', 'gampang', 'untuk', 'menuju', 'kota', 'dan', 'tempat', 'makan', '.']","[([-1], [0], 'POS'), ([-1], [1], 'POS'), ([-1], [2], 'POS')]",FALSE
223,"['nyaman', 'banget', '.', 'walau', 'roomnya', 'ada', 'di', 'atas', '.']","[([-1], [0, 1], 'POS')]",FALSE
227,"['mereka', 'upgrade', 'gratis', 'kamar', ',', 'terimakasih', 'airy', '.']",[],TRUE
246,"['nyaman', ',', 'pas', 'dapat', 'yang', 'enak', 'he', '.']","[([-1], [0], 'POS')]",FALSE
250,"['recomended', 'buat', 'refreshing', 'dan', 'sangat', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [4, 5], 'POS')]",FALSE
254,"['lebih', 'membutuhkan', 'maintenance', 'untuk', 'kamar', 'mandi', 'dan', 'aroma', 'ac/kamarnya', '.']",[],TRUE
257,"['selalu', 'senang', 'kalau', 'menginap', 'disini', '.']","[([-1], [0, 1], 'POS')]",FALSE
259,"['nyaman', 'dan', 'menyenangkan', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
267,"['good', ',', 'sangat', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [2, 3], 'POS')]",FALSE
272,"['ada', 'harga', 'ada', 'kualitas', 'bagi', 'saya', 'kualitas', 'sudah', 'diatas', 'harga', '.', 'semoga', 'bisa', 'menginap', 'disini', 'lagi', '.']",[],TRUE
273,"['sudah', 'bayar', 'tidak', 'jadi', 'cek', 'in', 'tidak', 'ada', 'konfirmasi', 'apalagi', 'refund', '.']",[],TRUE
277,"['bersih', '.', 'nyaman', '.', 'ramah', '.', 'dekat', 'dengan', 'taman', 'safari', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
296,"['baik', 'dan', 'nyaman', '.', 'bersih', '.', 'untuk', 'liburan', 'keluarga', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
298,"['recommended', '.', 'untuk', 'harga', 'segitu', ',', 'lumayan', 'lah', '.']","[([-1], [0], 'POS'), ([-1], [6], 'POS')]",FALSE
299,"['sangat', 'puas', 'dan', 'menyenangkan', '.', 'terima', 'kasih', '!']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
304,"['bersih', '.', 'oke', '.', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
305,"['sudah', 'cukup', 'baik', '.']","[([-1], [1,2], 'POS')]",FALSE
308,"['nyaman', '.', 'dekat', 'dengan', 'malioboro', 'dan', 'stasiun', 'tugu', '.', 'akses', 'kemanakemana', 'dekat', '.']","[([-1], [0], 'POS')]",FALSE
313,"['sudah', 'sering', 'menginap', 'disini', '.']",[],TRUE
338,"['puas', 'menginap', 'disini', '.']","[([-1], [0], 'POS')]",FALSE
340,"['bagus', '.', 'bersih', '.', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
353,"['check', 'in', 'ktp', 'di', 'minta', ',', 'check', 'out', 'petugas', 'lupa', 'tidak', 'memberikan', 'ktp', 'saya', ',', 'padahal', 'saya', 'dari', 'luar', 'kota', 'transit', 'ke', 'semarang', 'dan', 'saya', 'tidak', 'di', 'hubungi', 'terkait', 'ini', 'sampai', 'saya', 'caricari', 'nomor', 'telpun', 'hotel', ',', 'ketika', 'di', 'telpun', 'juga', 'tidak', 'bahkan', 'minta', 'maaf', 'bahkan', 'lempar', 'lemparan', 'tanggung', 'jawab', '.']",[],TRUE
356,"['oke', 'thank', 'you', '.']","[([-1], [0], 'NEU')]",FALSE
363,"['sangat', 'di', 'rekomendasikan', 'untuk', 'berlibur', 'ke', 'bali', 'dengan', 'modal', 'sedikit', '.']","[([-1], [0, 1, 2], 'POS')]",FALSE
364,"['jadi', 'ketagihan', 'menginap', 'disini', '.']",[],TRUE
374,"['recommended', 'banget', 'buat', 'backpacker', '.']","[([-1], [0, 1], 'POS')]",FALSE
375,"['kurang', 'ramah', '.']","[([-1], [0, 1], 'NEG')]",FALSE
379,"['tenang', 'banget', '.', 'iya', 'lumayan', 'lah', '.']","[([-1], [0, 1], 'POS'), ([-1], [4], 'POS')]",FALSE
380,"['nyaman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
401,"['sudah', 'reservasi', 'tetapi', 'pihak', 'hotel', 'tidak', 'mengetahui', 'dan', 'menyiapkan', 'kamar', '.', 'akhirnya', 'di', 'cancel', '.']",[],TRUE
411,"['sangat', 'nyaman', ':', ')', '.']","[([-1], [0, 1], 'POS')]",FALSE
418,"['beli', 'airy', 'hotel', 'namun', 'nginapnya', 'di', 'ameera', 'hotel', '.']",[],TRUE
437,"['sangat', 'puas', '.']","[([-1], [0, 1], 'POS')]",FALSE
444,"['sungguh', 'sangat', 'memberikan', 'keutamaan', 'bagi', 'tamu', 'nya', 'tingkatkan', 'terus', 'sop', 'nya', 'dan', 'saya', 'sangat', 'puas', 'menginap', 'di', 'sini', '.']","[([-1], [13, 14], 'POS')]",FALSE
449,"['mohon', 'lebih', 'teliti', 'mengenai', 'fasilitasnya', ',', 'sebab', 'hari', 'itu', '(', ')', 'handuk', ',', 'terima', 'kasih', '.']",[],TRUE
459,"['untuk', 'kedua', 'kalinya', '.', 'very', 'bagus', '.']","[([-1], [4, 5], 'POS')]",FALSE
461,"['saya', 'di', 'layani', 'dengan', 'maximal', 'terimakasih', 'airy', '.']",[],TRUE
464,"['kalau', 'ada', 'yang', 'double', 'bed', 'lebih', 'baik', 'lagi', '.']",[],TRUE
474,"['swkt', 'akan', 'check', 'out', 'harus', 'lebih', 'dulu', 'menunggu', 'customer', 'pelayanan', 'periksa', 'kamar', 'dengan', 'alasan', 'sering', 'bercak', 'darah', 'di', 'selimut', ',', 'dll.', '.']",[],TRUE
479,"['lumayan', 'ok', '.', 'sarapannya', 'kalau', 'bisa', 'ada', 'ayam', 'goreng', 'atau', 'apa', 'begitu', 'walau', 'dalam', 'irisan', 'kecil', 'sja', '.']","[([-1], [0, 1], 'POS')]",FALSE
499,"['nyaman', ',', 'bersih', ',', 'terjangkau', 'dan', 'dekat', 'bandara', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
500,"['tidak', 'sesuai', 'alamat', 'di', 'traveloka', '.', 'di', 'map', 'traveloka', ',', 'foto', 'depan', 'tampak', 'di', 'depan', 'jalan', 'raya', '.', 'ternyata', 'dia', 'bekerja', 'sama', 'dengan', 'ayu', 'beach', 'in', '.', 'dan', 'letaknya', 'didalem', '.', 'tidak', 'bisa', 'buat', 'parkir', 'mobil', '.', 'akhirnya', 'saya', 'tinggal', 'pergi', 'tanpa', 'saya', 'tempati', '.', 'kecewa', 'banget', '.']","[([-1], [45, 46], 'NEG')]",FALSE
506,"['ah', '.', 'dikasih', 'yang', 'bau', 'rokok', '.']","[([-1], [4, 5], 'NEG')]",FALSE
507,"['aman', 'dan', 'nyaman', ',', 'ulun', 'kawa', 'tidur', 'nyenyak', 'pian', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
509,"['bersih', 'dan', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
515,"['ada', 'dispenser', 'dong', ',', 'paling', 'tidak', 'di', 'pojok', 'ruangan', 'saja', '1', '.']",[],TRUE
521,"['alhamdulillah', '.', 'baik', 'dan', 'pas', 'buat', 'keluarga', 'kecil', '.']","[([-1], [2], 'POS')]",FALSE
522,"['dekat', 'halte', 'harmoni', '.', 'dekat', 'supermarket', '.']",[],TRUE
524,"['bagus', 'menyenangkan', ',', 'anak', 'anak', 'happy', 'banget', 'disini', '.']","[([-1], [0, 1], 'POS')]",FALSE
525,"['pemanas', 'airnya', 'bisa', 'dpake', 'siang', 'dan', 'sore', 'saja', ',', 'pg', 'sama', 'malam', 'airnya', 'dingin', '.']",[],TRUE
534,"['inap', 'kalau', 'mencari', 'ketenangan', 'disini', 'tempanya', ',', 'recomended', '.']","[([-1], [7], 'POS')]",FALSE
536,"['senengnya', 'dape', 't', 'kamar', 'paling', 'depan', 'jadi', 'kalau', 'mau', 'keluar', 'keluar', 'enak', 'tidak', 'ganggu', '.']",[],TRUE
544,"['jika', 'dibenahi', 'dan', 'lebih', 'terawat', 'padahal', 'akan', 'sangat', 'menyenangkan', '.']",[],TRUE
562,"['kurang', 'bersih', ',', 'banyak', 'serangga', '.']","[([-1], [0, 1], 'NEG'), ([-1], [3, 4], 'NEG')]",FALSE
566,"['nyaman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
583,"['bagus', '.', 'parkiran', 'di', 'depan', 'kamar', 'memudahkan', 'orang', 'saat', 'pergi', 'dan', 'lelah', 'bisa', 'langsung', 'menuju', 'kamar', '.']","[([-1], [0], 'POS')]",FALSE
590,"['hanya', 'jarak', 'tempuh', 'menuju', 'metro', 'tanah', 'abang', 'lumayan', 'jauh', '.']",[],TRUE
591,"['bersih', ',', 'bagus', ',', 'ramah', ',', 'cari', 'makanan', 'dekat', ',', 'banyak', 'cafe', 'sekitar', 'hotel', '.', 'di', 'hotelnya', 'pun', 'ada', 'cafe', 'sendiri', '.', 'terimakasih', 'hazotel', ',', 'terimakasih', 'airy', ',', 'terimakasih', 'local', 'guide', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
595,"['ini', 'tempat', 'langganan', 'saya', '.']",[],TRUE
596,"['bagus', ',', 'sesuai', 'dengan', 'ekspektasi', 'dan', 'dekat', 'banget', 'dengan', 'mesjid', ',', 'rekomen', 'deh', '.']","[([-1], [0], 'POS'), ([-1], [11], 'POS')]",FALSE
597,"['mau', 'hunian', 'dengan', 'konsep', 'rumahan', 'iya', 'di', 'sini', 'tempatnya', '.']",[],TRUE
598,"['not', 'good', 'enough', '.', 'tidak', 'sesuai', 'ekspektasi', '.']","[([-1], [0, 1, 2], 'NEG'), ([-1], [4, 5, 6], 'NEG')]",FALSE
609,"['bagus', 'banget', 'untuk', 'penginapan', 'seharga', 'ini', '.']","[([-1], [0, 1], 'POS')]",FALSE
612,"['keren', 'banget', ',', 'puas', 'pokoknya', '.', 'makasii', 'iya', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
629,"['hotel', 'agak', 'masuk', 'ke', 'gang', ',', 'tetapi', 'tidak', 'jauh', ',', 'dan', 'jadi', 'keuntungan', 'tersendiri', 'karena', 'jauh', 'dari', 'kebisingan', 'jalan', 'rs', 'farmawati', 'yang', 'always', 'macet', 'itu', '.']",[],TRUE
631,"['bagus', ',', 'bersih', ',', 'nyaman', ',', 'dan', 'ramah', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS'), ([-1], [7], 'POS')]",FALSE
641,"['semakin', 'mantap', '.']","[([-1], [1], 'POS')]",FALSE
647,"['semoga', 'tetap', 'dipertahnkn', '.']",[],TRUE
648,"['nyaman', 'banget', ',', 'ramah', 'dan', 'bersiih', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS'), ([-1], [5], 'POS')]",FALSE
659,"['sudah', 'enak', 'to', 'kurang', 'bersih', '.']","[([-1], [0, 1], 'POS'), ([-1], [3, 4], 'NEG')]",FALSE
670,"['sangat', 'baik', '.']","[([-1], [0, 1], 'POS')]",FALSE
673,"['lumayan', 'buat', 'istirahat', '.']","[([-1], [0], 'POS')]",FALSE
679,"['nyaman', 'banget', ',', 'airy', 'mantap', 'pkonya', '.']","[([-1], [0, 1], 'POS'), ([-1], [4], 'POS')]",FALSE
681,"['very', 'recommended', ',', 'nyaman', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
686,"['bising', ',', 'kurang', 'bersih', '.']","[([-1], [0], 'NEG'), ([-1], [2, 3], 'NEG')]",FALSE
692,"['maaf', '.', 'kamu', 'tidak', 'jadi', 'menginap', 'karena', 'penerbangan', 'kamu', 'ke', 'bali', 'dibatalkn', 'akibat', 'gunung', 'agung', 'meletus', '.']",[],TRUE
702,"['igin', 'merubah', 'tanggal', '.']",[],TRUE
708,"['tempat', 'makan', 'lebih', 'baik', 'dikasih', 'dinding', 'atau', 'apa', 'begitu', 'biar', 'tidak', 'langsung', 'menghadap', 'ke', 'kamar', '.', 'karena', 'risih', 'kalau', 'dilihat', '.']",[],TRUE
715,"['kebanyakan', 'yang', 'menginap', 'pakai', 'motor', ',', 'tetapi', 'mobil', 'bisa', 'parkir', 'di', 'luar', 'juga', '.']",[],TRUE
728,"['nyaman', 'sekali', ',', 'betah', 'dan', 'rekomended', 'kalau', 'ke', 'surabaya', 'dst.', '.']","[([-1], [0, 1], 'POS'), ([-1], [5], 'POS')]",FALSE
729,"['cukup', 'bersih', 'dan', 'enak', 'kalau', 'buat', 'backpakeran', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
730,"['parkir', 'kalau', 'malam', 'penuh', ',', 'mungkin', 'karena', 'ada', 'pengunjung', 'cafe', 'di', 'lantai', 'atas', '.', 'tetapi', 'so', 'far', 'tidak', 'begitu', 'masalah', 'karena', 'staf', 'hotel', 'siap', 'membantu', '.']",[],TRUE
735,"['hotelnya', 'dekat', 'dengat', 'sanur', 'dan', 'lapangan', 'renon', '!']",[],TRUE
739,"['sudah', 'di', 'sampaikan', 'ke', 'airy', 'agent', ',', 'dan', 'tidak', 'ada', 'penyelesaian', 'sampai', 'sekarang', '.']",[],TRUE
744,"['saya', 'sangat', 'sangat', 'sangat', 'kecewa', 'sekali', '.']","[([-1], [1, 2, 3, 4, 5], 'NEG')]",FALSE
749,"['tidak', 'mengecewakan', '.', 'recommended', '!']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
759,"['saya', 'tidak', 'jadi', 'inap', ',', 'karena', 'ada', 'perubahan', 'jadwal', 'kegiatan', 'dan', 'di', 'airy', 'tidak', 'tersedia', 'kolom', 'refund', '.']",[],TRUE
768,"['puas', '.', 'bisa', 'istirahat', 'dengan', 'baik', '.']","[([-1], [0], 'POS')]",FALSE
776,"['good', ',', 'cuma', 'kalau', 'naik', 'tangga', 'ke', 'atas', 'lelah', 'juragan', '.']","[([-1], [0], 'POS')]",FALSE
779,"['mudahmudahan', 'lain', 'kali', 'dapat', 'yang', 'lebih', 'baik', 'kondisinya', ',', 'harga', 'boleh', 'murah', 'tetapi', 'tetap', 'kelayakan', 'harus', 'diutamakan', '.']",[],TRUE
781,"['lokasi', 'tengah', 'kota', '.', 'dekat', 'pusat', 'perbelanjaan', '.', 'tidak', 'nyesal', 'lah', '.']","[([-1], [8, 9], 'POS')]",FALSE
786,"['bersih', 'nyaman', ',', 'cuma', 'kadang', 'tiba', 'tiba', 'mati', 'listrik', '.']","[([-1], [0], 'POS'), ([-1], [1], 'POS')]",FALSE
789,"['bagus', ',', 'nyaman', ',', 'aman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS'), ([-1], [6], 'POS')]",FALSE
800,"['lumayan', 'lah', '.']","[([-1], [0], 'POS')]",FALSE
815,"['mantap', 'seperti', 'perumahan', 'begitu', '.']","[([-1], [0], 'POS')]",FALSE
826,"['awalnya', '.', 'kami', 'agak', 'sulit', 'mencari', ',', 'ternyata', 'ini', 'adalah', 'nama', 'yang', 'sama', 'oggi', 'house', 'yang', 'terdaftar', 'juga', 'di', 'list', '.']","[([-1], [3, 4, 5], 'NEG')]",FALSE
828,"['sangat', 'puas', 'so', 'far', '.', 'dengan', 'airy', '(', 'taman', 'remaja', 'kusuma', 'bangsa', 'surabaya', ')', '.']","[([-1], [0, 1], 'POS')]",FALSE
